name,addr1,addr2,city,state,zip,Phone,Fax,email,contact
SANTA CATALINA NURSERY LLC,31405 OLD HIGHWAY 395,SUITE A,ESCONDIDO,CA,92026,(760) 751-4035,(760) 751-4036,,"ALEYDA ESPINOZA ,  MARIA ROJAS"
WEST COAST TURF,PO BOX 4563,,PALM DESERT,CA,92261,(800) 447-1840,(760) 340-7346,,FLABIA
G&G GROWERS,P.O. BOX 521,,CHINO,CA,91710,(909) 947-3003,(909) 930-2257,,
COINER NURSERY,P.O. BOX 7217,3000 B STREET,LA VERNE,CA,91750,(909) 593-1373,(909) 593-1235,,JIM COINER/OWNER    NANCY
UNITED GREEN TECH,P.O. BOX 845,,NOVATO,CA,94948,(949) 455-7465,(415) 892-0087,,JOHN ROSS-LINDA-DIANE-KEN
PAUL BRUNING AND ASSOCIATES,20042 BEACH BLVD. STE 240,,HUNTINGTON BEACH,CA,92648,(714) 960-3115,(714) 960-4408,,
PERFORMANCE NURSERY CORP.,2501 MANHATTAN BEACH BLVD.,,REDONDO BEACH,CA,90278,(800) 525-5446,(805) 529-3918,,RAUL
SILHOUETTES OF THE DESERT,1022 LA RUEDA,,VISTA,CA,92084,(760) 727-2935,(760) 727-3907,,
JM TREE SERVICE,2225 E CENTER STREET,,ANAHEIM,CA,92806,(714) 535-8103,(714) 772-3077,,
HARRIS FENCE COMPANY,15188 VISTA DEL RIO,,CHINO,CA,91710-9694,(909) 597-4714,(909) 597-9152,,GARY FREDRIC
EVERDE GROWERS,P.O. BOX 5465,,ORANGE,CA,92863-5465,(714) 279-3100,(714) 279-3199,,JOHN B.
JOHN E BATINA,277 S RASPBERRY LANE,,ANAHEIM HILLS,CA,92808,(714) 283-3436,,,
ARMSTRONG GARDEN CENTER,,,,CA,,,,,
BOTANICAL PARTNERS,2498 MAJELLA ROAD,,VISTA,CA,92084,(760) 801-9040,(760) 631-1909,,
GARDENSIDE LTD *,999 ANDERSEN DRIVE,,SAN RAFAEL,CA,94901,(415) 455-4500,(415) 455-4505,,
J & E WROUGHT IRON,5745 WACO STREET,CONT LICENSE REVOKED 6/8/04,CHINO,CA,91710,(909) 465-0664,(909) 465-0961,,JOSE & EDGAR PADILLA
CALIFORNIA TROPICAL FRUIT TREE,2840 STATE STREET,,CARLSBAD,CA,92008,(760) 434-5085,,,
PTI SAND & GRAVEL,14925 RIVER ROAD,,CORONA,CA,92880,(951) 272-0140,(951) 737-1295,,
"KINGSLEY-BATE, LTD",7200 GATEWAY COURT,,MANASSAS,VA,20109,(703) 361-7000,(703) 361-7001,,
"BOETHING TREELAND FARMS, INC",23475 LONG VALLEY ROAD,,WOODLAND HILLS,CA,91367,(818) 316-2081,(818) 712-6979,,RODRIGO VENEGAS
OUTDOOR DIMENSIONS,1818 E ORANGETHORPE AVENUE,,FULLERTON,CA,92831,(714) 578-9555,(714) 578-9578,,
AG ORGANICS,7215 WOODPIGEON ROAD,,CORONA,CA,92880,(   )    -,,,
CAMBRIDGE PINES NURSERY,1550 N. CAMBRIDGE RD,,ORANGE,CA,92867,(714) 402-0982,,,ED HOFMAYER
LEONARD CHAIDEZ TREE SERVICE,P.O. BOX 29,,ANAHEIM,CA,92815-0029,(714) 774-8121,,,
REDWOOD PRODUCTS,P.O. BOX 2662,,CORONA,CA,92878-2662,(909) 923-5656,(909) 923-3756,,"(VANESSA,ROSIE,DEBBIE)946-2792"
"MITSUWA NURSERY, INC.",P O BOX 487,,MOORPARK,CA,93020-0487,(805) 529-0419,,,
"WAUSAU TILE, INC. *",P O BOX 967,,BANNING,CA,92220,(800) 231-4836,(909) 849-4781,,CHRIS EXT. 327
"GENESIS GROWERS, INC.",27130A PASEO ESPANDA #1423,SAN JUAN CAPISTRANO,,CA,92675,(949) 240-0681,(949) 240-3228,,
THOMPSON BUILDING MATERIALS,PO BOX 276,,LOMITA,CA,90717,(714) 637-7373,(714) 637-7666,,OSCAR
BARON BROTHERS NURSERY,7568 SANTA ROSA ROAD,,CAMARILLO,CA,93012-8261,(805) 484-0085,(805) 388-9694,,
SOUTHLAND SOD FARMS,P.O. BOX 579,,PORT HUENEME,CA,93044-0579,(800) 532-3489,(805) 986-3878,,
OGELBAY NORTON *,PO BOX 249,31302 ORTEGA HWY,SAN JUAN CAP.,CA,92693-0249,(949) 728-0171,(949) 728-0321,,APRIL ELECCIRI A/P EXT.326
V & E TREE SERVICE,P.O. BOX 3280,,ORANGE,CA,92857-0280,(714) 997-0903,,,
"BOULDERSCAPE, INC","34249 CAMINO CAPISTRANO, #215",,CAPISTRANO BEACH,CA,92624,(949) 661-5087,(949) 661-3397,,
STONE FOREST,213 ST FRANCIS DRIVE,,SANTA FE,MN,87501,(505) 986-8883,(505) 982-2712,,
KIDSZONE,"8801 ONYX STREET, STE A",,RANCHO CUCAMONGA,CA,91730,(909) 987-5554,(909) 987-7577,,
"PLAYPOWER LT FARMINGTON,INC.",C/O ACCOUNTS RECEIVABLE,PO BOX 734154,DALLAS,TX,75373-4154,(714) 846-4885,(573) 760-7454,accounts.receivable@playpower.com,LISA ALLEN
"WALPOLE WOODWORKERS, INC. *",767 EAST STREET,P.O. BOX 151,WALPOLE,MA,02081,(508) 668-2800,,,
KAY PARK RECREATION *,P O BOX 477,,JANESVILLE,IA,50647,(   )    -,(   )    -,,
EVERGREEN,DEPT 2457,,LOS ANGELES,CA,90084-2457,(800) 972-5284,(949) 474-9149,,
MIRACLE PARK,6481 ORANGETHORPE AVENUE,SUITE 22,BUENA PARK,CA,90620,(714) 736-8930,(714) 736-8935,,
DYNACON,16401 SARATOGA LANE,,HUNTINGTON BEACH,CA,92649,(714) 840-3257,(714) 840-3257,,
PROGRESSIVE DESIGN PLAYGROUND*,2665 VISTA PACIFIC DRIVE,,OCEANSIDE,CA,92056,(760) 597-5990,(760) 597-5991,,
MURDOCK SUPER SECUR,2488 RIVER ROAD,,CINCINNATI,OH,45204,(513) 471-7700,(513) 471-3299,,
"TOMARK SPORTS, INC",P.O. BOX 1088,,CORONA,CA,92878,(909) 371-1844,,,
GAIL MATERIALS INCORPORATED,1256 MAGNOLIA AVENUE,,CORONA,CA,92879-2027,(951) 667-6106,(951) 667-6102,,BILL  951 232 7551
ASIAN CERAMICS INC,2800 HUNTINGTON DR.,,DUARTE,CA,91010,(626) 449-6800,(626) 449-6895,,TESS
CHARLESTON GARDENS *,650 KING ST.,,CHARLESTON,SC,29403-4827,(843) 722-7460,(843) 723-1609,,
MURRIETA OAKS NURSERY,35921 GREER ROAD,,MURRIETA,CA,92562,(909) 679-0664,(909) 679-1918,,
"QUALITY FENCE CO., INC.",14929 GARFIELD AVENUE,,PARAMOUNT,CA,90723,(714) 526-1466,(562) 869-7804,,
KEYSTONE RIDGE DESIGNS *,P.O. BOX 2008,,BUTLER,PA,16003-2008,(800) 284-8208,(724) 284-1253,,KATHY
CHELSEA DECORATIVE METALS,8212 BRAEWICK DRIVE,,HOUSTON,TX,77074,,,,
SAF DEK BY PATHWAY SURFACES,C/O GULF COAST BANK & TRUST CO,PO BOX 203047,HOUSTON,TX,77216,(225) 293-7760,(225) 293-8471,,ANGELA-EX. 248
GARDEN ART INTERNATIONAL *,24121 VENTURA BLVD.,,CALABASAS,CA,91302,(714) 541-4200,(714) 541-3700,,(DIV.OF VALLEY CREST) KATHY *
KIMS IRON WORKS *,2331 E ORANGETHORPE AVENUE,,FULLERTON,CA,92831,(714) 441-1800,(714) 680-0282,,
TROPITONE FURNITURE *,4200 RIVER AVE.,,NEWPORT BEACH,CA,92663,(949) 645-6161,(949) 645-6162,,
FOREST WOOD FIBER PRODUCTS,P. O. BOX 279,,LAKE ELSINORE,CA,92351,(909) 678-7574,(909) 678-2684,,
LINNERT BUILDERS,1675 N. SHAFFER,,ORANGE,CA,92867,(714) 974-4393,,,
P. W. GILLIBRAND COMPANY,4537 ISH DRIVE,,SIMI VALLEY,CA,93062,(800) 760-4083,(805) 522-4031,,
"ZAINO TENNIS COURTS, INC.",950 N. BATAVIA,,ORANGE,CA,92867,(714) 744-1885,(714) 744-2877,,RICHARD
STONESMITH GARDEN VESSELS,P. O. BOX 713,,CAMBRIA,CA,93428,(805) 927-0827,(805) 927-3707,,
"PORTA-JOHN SYSTEMS, INC.",50633 RYAN ROAD,,UTICA,MI,48317,(800) 521-6310,(586) 731-0670,,EARL BRAXTON
D.M. BRAUN & COMPANY,411 WEST LAMBERT ROAD,SUITE #404,BREA,CA,92821,(714) 674-0855,(714) 674-0860,,
PIPELINE IRRIGATION SUPPLY INC,C/O ACCOUNTING DEPARTMENT,PO BOX 225,SANTA CLARA,CA,95052-0225,(714) 429-0410,(714) 429-0411,,PAULA   (LORI)   (VALERIE) *
JON'S FLAGS & POLES,3215 CHICAGO AVENUE,,RIVERSIDE,CA,4480L-50,(909) 682-0134,(909) 682-4346,,
"ORANGE COUNTY NURSERY, INC.",5485 GRIMES CANYON ROAD,,MOORPARK,CA,93021,(800) 569-0169,(805) 517-1213,,(ROGER 714-390-6850)(ROSA)
ABC NURSERY,424 E. GARDENA BLVD.,,GARDENA,CA,90248,(310) 327-9212,(310) 327-1608,,BRAIN
VAN NESS WATER GARDENS,2460 N. EUCLID AVENUE,,UPLAND,CA,91784-1199,(909) 982-2425,(909) 949-7217,,
PACIFIC SOIL STABILIZATION,1279 W. STOWELL ROAD UNIT 'A',,SANTA MARIA,CA,93458-9720,(805) 925-7737,(805) 925-4787,,
LA CRESTA PLASTIC FENCE,40101 LA CRESTA,,MURRIETA,CA,92562,(909) 677-9313,(909) 677-9313,,
MIRACLE PLAYGROUND SALES *,9196 STELLAR COURT,,CORONA,CA,92883,(   )    -,(877) 215-3869,,ALLISON (SEE MEMO FOR NUMBERS)
"PROLER GARDEN ANTIQUES, INC.",528 PALISADES DR. SUITE 501,,PACIFIC PALISADS,CA,90272,(310) 459-0477,(310) 459-2577,,LYNETTE G. PROLER
AUTHENTIC PROVENCE,522 CLEMATIS STREET,,WEST PALM BEACH,FL,33401,(561) 805-995,(561) 805-5730,,ERIK DE BOURBON
WALTERS WHOLESALE ELECTRIC *,1050 N. KRAEMER PL.,,ANAHEIM,CA,92806,(714) 630-7321,(714) 630-3284,,
SALCO GROWERS,6236 BELLFLOWER BLVD.,,LAKEWOOD,CA,90713-1066,(562) 866-7063,(562) 804-1363,,
LAZY HILL FARM DESIGNS INC.,230 GLOVERS CROSS RD.,PO BOX 235,COLERAIN,NC,27924-0235,(252) 356-2828,(252) 356-2040,,
GARDENERS SUPPLY,128 INTERVALE ROAD,,BURLINGTON,VT,05401,(800) 876-5520,(800) 551-6712,,
QUINTESSENCE COMPANY,BUILDING MAINTENANCE,2535 CAMINO DEL RIO SOUTH #205,SAN DIEGO,CA,92108,(619) 686-8787,,,(JESSICA LAXISON)
"BRANDELI ARTS, INC.",,,,CA,,,,,
TRENCH SHORING CO.,636 EAST ROSECRANS AVE.,,LOS ANGELES,CA,90059-3507,(310) 327-5554,(310) 323-9648,,DIGNA (951)734-4290/734-3721F
CAROLINA RUSTICA,103 CHURCH ST.,,CONCORD,NC,28025,(800) 205-7819,(704) 786-1662,,BONNY
GREEN CULTURE,32 RANCHO CIRCLE,,LAKE FOREST,CA,92630,(949) 643-8795,(949) 360-7864,,LAURA-(949-716-2000 X 213)
BROOKSTONE,1655 BASSFORD DR.,,MEXICO,MO,65265,(800) 846-3000,(573) 581-7361,,
CHAVENELLE STUDIO METALWORKS,,1155 KELLY LANE,DUBUQUE,IA,52003,(563) 583-2218,(563) 583-3566,,
R.C. NURSERY,15132 BOLSA CHICA ROAD,,HUNTINGTON BEACH,CA,92649,(714) 897-5624,(714) 897-4134,,
"GLASSICAL DESIGNS, INC.",3303 HARBOR BLVD. SUITE C-2,,HUNTINGTON BEACH,CA,92626,,,,
TARGET SPECIALTY PRODUCTS,15415 MARQUARDT AVE,,SANTA FE SPRINGS,CA,90670,(800) 352-3870,(562) 802-1786,,
LATHROP WOODWORKS INC.,136175 S. MCKINLEY AVE.,,LATHROP,CA,95330-9703,(209) 858-4173,(209) 858-4762,,SONIA
"IPIS, INC.","2720 GATEWAY OAKS DRIVE, #130",,SACRAMENTO,CA,95833,,,,
DUDEK & ASSOCIATES,605 THIRD STREET,,ENCINITAS,CA,92024,(714) 939-9810,(714) 939-9776,,THOMAS LARSON
HEMET WHOLESALE GROWERS,PO BOX 1650,,HEMET,CA,92548-1650,(800) 200-4769,(909) 652-6543,,
JUST PALM TREES *,806 E. AVENIDA PICO,SUITE I #274,SAN CLEMENTE,CA,92672,(949) 366-0310,(949) 366-0339,,
"CORONA CLAY COMPANY, INC,",628 LANCER LN,,CORONA,CA,92879-2528,,(951) 277-2667,,MARY
JUNGLESCAPES,PO BOX 235152,,ENCINITAS,CA,92023,(619) 888-6000,(760) 634-4850,,
T & R NURSERY,36298 GLEN OAKS RD.,,TEMECULA,CA,92596,(909) 694-9426,(909) 694-9578,,
R&S SOIL PRODUCTS INC.,24002 VIA FABRICANTE # 225,,MISSION VIEJO,CA,92691,(949) 830-8882,(949) 454-1992,,JEAN
PACIFIC CREST LANDSCAPE MAT'LS,31031 GEARY STREET,,MENIFEE,CA,92584,(951) 326-5802,(951) 301-9983,PACIFICREST@HOTMAIL.COM,SHELLY
HUGHES SUPPLY INC.,PO BOX 79382,,CITY OF INDUSTRY,CA,91716-9382,(949) 888-3385,(949) 888-3394,,STAFF-MGR  BARBARA A/P
NEW WEST GROWERS,1413 W.KENNETH RD #227,,GLENDALE,CA,91201,(310) 669-9378,(310) 631-5069,,CARLOS
LANDSCAPE FORMS INC.,PO BOX 78000,DEPT. 78073,DETROIT,MI,48278-0073,(818) 761-0655,(818) 761-3143,,NIRA CASEY
INSTANT JUNGLE INTERNATIONAL,2560 S. BIRCH ST.,,SANTA ANA,CA,92707,(714) 850-9227,(714) 850-9228,,ANDY 714 267 0154
"SITEONE LANDSCAPE SUPPLY,LLC",24110 NETWORK PLACE,,CHICAGO,IL,60673-1241,,(707) 792-5951,,ANDREA-MIAN CORP
RAYMOND RODRIGUEZ,9467 55TH STREET,,RIVERSIDE,CA,92509,(714) 476-4576,,,RAMON
JOAQUIN RAYO,6632 BURNHAM AVE.,,BUENA PARK,CA,90621,(714) 323-1206,,,
"CALIFORNIA SWINGS, INC. *",1431 N. DALY ST.,,ANAHEIM,CA,92806,(714) 758-1685,(714) 758-3920,,
CAL FREIGHT *,8609 BANANA AVE.,,FONTANA,CA,92335,,,,
FINYL VINYL *,ATTENTION: STRANTZ,"15201 PIPELINE LANE, UNIT A",HUNTINGTON BEACH,CA,92649,(714) 893-9921,,,
DOGGIE WALK BAGS INC. *,,1005 BRIOSO,COSTA MESA,CA,92627,(949) 200-1148,(949) 200-1149,,BUNNY
OAK LEAF STOCK,(Out of Stock Purchases),,,CA,,,,,
FOUNTAIN UNIQUE,"22822 GRANITE WAY, SUITE 'A'",,LAGUNA HILLS,CA,92653,(949) 305-7372,(949) 206-1178,,
SANCHEZ PLANT GROWER,9030 56TH STREET,,PEDLEY,CA,92509,(951) 685-1492,(951) 685-1329,,SANDRA
TUSCAN IRON WORKS INC  *,2107 CHICO AVENUE,,S.EL MONTE,CA,91733,(800) 245-9213,,,
RANA CREEK WHOLESALE NURSERY *,35351 EAST CARMEL VALLEY ROAD,,CARMEL VALLEY,CA,93924,(831) 659-2830,(831) 659-1204,,
NATIVE GROW NURSERY,27312 CALLE ARROYO,,SAN JUAN CAP,CA,92675,(949) 489-2700,(760) 749-1849,HUMBERTO@NATIVEGROW.COM,JULIE VANDERMOST
CASRON SERVICES *,8621 BELLANCA ST. SUITE 101,,WESTCHESTER,CA,90045,(310) 568-9846,(310) 568-9843,,
PETERSEN MANUFACTURING CO. INC,PRECAST CONCRETE PRODUCTS,PO BOX 664,DENISON,IA,51442,(800) 832-7383,(712) 263-5090,,
WEST COVINA NURSERIES,PO BOX 8046,,LA VERNA,CA,91750-8046,(909) 596-3723,,,
PONTO NURSERY,PO BOX 536,,VISTA,CA,92085-0536,(800) 300-6003,(760) 724-1974,,JUDY  PONTO
T. D. GROGAN CONSTRUCTION,9375 ARCHIBALD,SUITE 704,RANCHO CUCAMONGA,CA,91730,(909) 476-9100,(909) 476-9103,949-7023304-CELL,JACK
TOT TURF,,4145 W. MERCURY WAY,CHANDLER,AZ,85226,(602) 340-8873,,,
CAPISTRANO CRANE SERVICE,PO BOX 2265,,CAPISTRANO BEACH,CA,92624,(949) 388-1144,,,
SPYDER MANUFACTURING INC.,545 PORTER WAY,,PLACENTIA,CA,92870,(714) 528-8010,,NATHAN@SPYDERMAN.COM,NATHAN MONING
"EJ GROWERS, INC.",28039 SCOTT RD.  277,,MURRIETA,CA,92563,(626) 786-4209,,,EFRAIN
FREMONTIA HORTICULTURAL,6018 RENO AVE.,,TEMPLE CITY,CA,91780,(909) 673-0600,,,
"KING GROWERS, INC.",2500 MYERS,,RIVERSIDE,CA,92503,(951) 396-1717,,,
HORIZON LIGHTING,2351 MC GAW AVENUE,,IRVINE,CA,92614,,,,
PERKINS CUSTOM COATINGS,3148 MARKET STREET,,SAN DIEGO,CA,92102,(619) 236-0343,,,
STONE PROJECTS,,,,CA,,(714) 656-7863,,,
A & M ORNAMENTAL IRON,1611 RAILROAD STREET,,CORONA,CA,92880,(951) 734-6730,,,
R&S RAIN GUTTERS & SHEET METAL,9983 CEDARDALE DRIVE,,SANTA FE SPRINGS,CA,90670,(562) 714-5859,,,
BESPOKE EXTERIOR LIVING,10700 SPENCER AVENUE,,FOUNTAIN VALLEY,CA,92708,(657) 799-6242,,,
STONEWEAR INC.,2900 LOCKHEED WAY,,CARSON CITY,NV,89706,(775) 883-8300,(775) 883-8756,,CARRIE ZEIGLER
HORIZON LIGHTING,2351 MC GAW AVENUE,,IRVINE,CA,92614,(949) 336-4336,,,
TERRA BELLA NURSERY,,,,,,(619) 585-1118,(619) 585-1119,,
NEW VENDOR TEST,1222 TOWN STREET,,ANYWHERE,CA,92806,(714) 630-2222,,,
WOOD END LABORATORIES INC.,PO BOX 297,,MT VERNON,ME,04352,(800) 451-0337,(207) 293-2488,solvita@woodsend.org,
