factor_code,labor_hours,description
1000.1,0.07,"2.5"" GALV FIT"
1000.2,0.05,"2"" GALV FIT,VIT"
1001,0.045,"1 1/2"" GALV FIT"
1001.1,0.042,"1 1/2"" GALV FIT,VIT"
1002,0.033,"1 1/4"" GALV FITTINGS"
1002.1,0.03,"1 1/4"" GALV FIT,VIT"
1003,0.03,"1"" GALV. FIT."
1003.1,0.027,"1"" GALV FIT,VIT"
1004,0.0285,"3/4"" GALV. FIT."
1004.1,0.023,"3/4""  GALV FIT,VIT"
1005,0.025,"1/2"" GALV FIT"
1005.1,0.02,"1/2"" GALV FIT,VIT"
1006,0.1,"2"" COPPER PIPE"
1007,0.1,"1 1/2"" COPPER PIPE"
1008,0.1,"1 1/4"" COPPER PIPE"
1009,0.1,"1"" COPPER PIPE"
1010,0.03,"3/4"" COPPER PIPE"
1011,0.04,"TRENCHING 18"" DEPTH"
1012,0.1,"HAND TRENCH 12"""
1013,0.25,TRENCHING 5' DEEP
